Персонаж,Какие формы встречаются в каждой книге,Предложения в книге
Гарри,"{'Filosofsky_Kamen': 'Гарри, Гарриной'}","{'Гарри': 1328, 'Гарриной': 3}"
Гарри,"{'Taynaya_Komnata': 'Гарриного, Гарри, Гаррину, Гаррино, Гаррины, Гаррина, Гарриной, Гарриных'}","{'Гарриного': 1, 'Гарри': 1603, 'Гаррину': 4, 'Гаррино': 2, 'Гаррины': 1, 'Гаррина': 1, 'Гарриной': 3, 'Гарриных': 2}"
Гарри,"{'Uznik_Azkabana': 'Гарриного, Гарри, Гаррином, Гаррину, Гаррино, Гарриным, Гаррины, Гарриной, Гарриных'}","{'Гарриного': 3, 'Гарри': 1958, 'Гаррином': 1, 'Гаррину': 2, 'Гаррино': 1, 'Гарриным': 1, 'Гаррины': 1, 'Гарриной': 9, 'Гарриных': 1}"
Гарри,"{'Kubok_Ognya': 'Гарриного, Гарри, Гаррину, Гарриными, Гарриному, Гарриным, Гаррина, Гаррины, Гаррин, Гарриной'}","{'Гарриного': 3, 'Гарри': 3070, 'Гаррину': 3, 'Гарриными': 1, 'Гарриному': 1, 'Гарриным': 2, 'Гаррина': 1, 'Гаррины': 3, 'Гаррин': 3, 'Гарриной': 8}"
Гарри,"{'Orden_Fenixa': 'Гарри, Гарриных, Гарротного, Гаррин'}","{'Гарри': 4359, 'Гарриных': 1, 'Гарротного': 1, 'Гаррин': 1}"
Гарри,{'Dary_Smerti': 'Гарри'},{'Гарри': 3458}
Сириус,"{'Filosofsky_Kamen': 'Сириусу, Сириус'}","{'Сириусу': 1, 'Сириус': 1}"
Сириус,{'Taynaya_Komnata': ''},{}
Сириус,"{'Uznik_Azkabana': 'Сириусе, Сириусу, Сириуса, Сириус, Сириусом'}","{'Сириусе': 2, 'Сириусу': 9, 'Сириуса': 28, 'Сириус': 89, 'Сириусом': 6}"
Сириус,"{'Kubok_Ognya': 'Сириусе, Сириусу, Сириуса, Сириус, Сириусом'}","{'Сириусе': 3, 'Сириусу': 28, 'Сириуса': 40, 'Сириус': 117, 'Сириусом': 15}"
Сириус,"{'Orden_Fenixa': 'Сириусова, Сириусе, Сириусу, Сириуса, Сириус, Сириусом'}","{'Сириусова': 1, 'Сириусе': 8, 'Сириусу': 35, 'Сириуса': 140, 'Сириус': 401, 'Сириусом': 28}"
Сириус,"{'Dary_Smerti': 'Сириусу, Сириуса, Сириус'}","{'Сириусу': 3, 'Сириуса': 35, 'Сириус': 32}"
Гермиона,"{'Filosofsky_Kamen': 'Гермионы, Гермиону, Гермионе, Гермиона, Гермионой'}","{'Гермионы': 18, 'Гермиону': 12, 'Гермионе': 16, 'Гермиона': 213, 'Гермионой': 23}"
Гермиона,"{'Taynaya_Komnata': 'Гермионы, Гермиону, Гермионе, Гермиона, Гермионовой, Гермионой'}","{'Гермионы': 30, 'Гермиону': 21, 'Гермионе': 22, 'Гермиона': 209, 'Гермионовой': 1, 'Гермионой': 32}"
Гермиона,"{'Uznik_Azkabana': 'Гермионы, Гермиону, Гермионе, Гермиона, Гермионой'}","{'Гермионы': 44, 'Гермиону': 46, 'Гермионе': 27, 'Гермиона': 459, 'Гермионой': 70}"
Гермиона,"{'Kubok_Ognya': 'Гермионы, Гермиониных, Гермиону, Гермионе, Гермионину, Гермиона, Гермионой'}","{'Гермионы': 68, 'Гермиониных': 1, 'Гермиону': 55, 'Гермионе': 44, 'Гермионину': 1, 'Гермиона': 614, 'Гермионой': 72}"
Гермиона,"{'Orden_Fenixa': 'Гермионы, Гермиону, Гермионе, Гермиона, Гермионин, Гермионой'}","{'Гермионы': 111, 'Гермиону': 106, 'Гермионе': 60, 'Гермиона': 1003, 'Гермионин': 1, 'Гермионой': 81}"
Гермиона,"{'Dary_Smerti': 'Гермионы, Гермионато, Гермиону, Гермионе, Гермионина, Гермиониной, Гермиона, Гермионин, Гермионой'}","{'Гермионы': 116, 'Гермионато': 1, 'Гермиону': 121, 'Гермионе': 78, 'Гермионина': 1, 'Гермиониной': 1, 'Гермиона': 919, 'Гермионин': 1, 'Гермионой': 65}"
