Source,Target,Weight,Type
Dostoevsky_BednieLyudi,Dostoevsky_Besy,1,undirected
Dostoevsky_BednieLyudi,Dostoevsky_PrestuplenieINakazanie,2,undirected
Dostoevsky_BednieLyudi,Dostoevsky_UnijennieIOskorblennie,3,undirected
Dostoevsky_Besy,Dostoevsky_BednieLyudi,1,undirected
Dostoevsky_Besy,Dostoevsky_PrestuplenieINakazanie,6,undirected
Dostoevsky_Besy,Dostoevsky_UnijennieIOskorblennie,4,undirected
Dostoevsky_Besy,Turgenev_Dym,1,undirected
Dostoevsky_PrestuplenieINakazanie,Dostoevsky_BednieLyudi,2,undirected
Dostoevsky_PrestuplenieINakazanie,Dostoevsky_Besy,6,undirected
Dostoevsky_PrestuplenieINakazanie,Dostoevsky_UnijennieIOskorblennie,5,undirected
Dostoevsky_PrestuplenieINakazanie,Turgenev_OtsyIDeti,1,undirected
Dostoevsky_UnijennieIOskorblennie,Dostoevsky_BednieLyudi,3,undirected
Dostoevsky_UnijennieIOskorblennie,Dostoevsky_Besy,4,undirected
Dostoevsky_UnijennieIOskorblennie,Dostoevsky_PrestuplenieINakazanie,5,undirected
Dostoevsky_UnijennieIOskorblennie,Tolstoy_SemeynoeShastye,3,undirected
Dostoevsky_UnijennieIOskorblennie,Turgenev_OtsyIDeti,1,undirected
Goncharov_Oblomov,Goncharov_Obryv,6,undirected
Goncharov_Oblomov,Goncharov_ObyknovennayaIstoriya,5,undirected
Goncharov_Oblomov,Turgenev_OtsyIDeti,1,undirected
Goncharov_Obryv,Goncharov_Oblomov,6,undirected
Goncharov_Obryv,Goncharov_ObyknovennayaIstoriya,4,undirected
Goncharov_Obryv,Turgenev_DvoryanskoeGnezdo,1,undirected
Goncharov_Obryv,Turgenev_Dym,1,undirected
Goncharov_Obryv,Turgenev_OtsyIDeti,2,undirected
Goncharov_ObyknovennayaIstoriya,Goncharov_Oblomov,5,undirected
Goncharov_ObyknovennayaIstoriya,Goncharov_Obryv,4,undirected
Goncharov_ObyknovennayaIstoriya,Turgenev_OtsyIDeti,1,undirected
Tolstoy_AnnaKarenina,Tolstoy_SemeynoeShastye,1,undirected
Tolstoy_AnnaKarenina,Tolstoy_VoinaIMir,5,undirected
Tolstoy_AnnaKarenina,Tolstoy_Voskresenie,6,undirected
Tolstoy_AnnaKarenina,Turgenev_OtsyIDeti,1,undirected
Tolstoy_SemeynoeShastye,Dostoevsky_UnijennieIOskorblennie,3,undirected
Tolstoy_SemeynoeShastye,Tolstoy_AnnaKarenina,1,undirected
Tolstoy_SemeynoeShastye,Tolstoy_Voskresenie,2,undirected
Tolstoy_VoinaIMir,Tolstoy_AnnaKarenina,5,undirected
Tolstoy_VoinaIMir,Tolstoy_Voskresenie,4,undirected
Tolstoy_VoinaIMir,Turgenev_OtsyIDeti,1,undirected
Tolstoy_Voskresenie,Tolstoy_AnnaKarenina,6,undirected
Tolstoy_Voskresenie,Tolstoy_SemeynoeShastye,2,undirected
Tolstoy_Voskresenie,Tolstoy_VoinaIMir,4,undirected
Tolstoy_Voskresenie,Turgenev_OtsyIDeti,1,undirected
Turgenev_DvoryanskoeGnezdo,Goncharov_Obryv,1,undirected
Turgenev_DvoryanskoeGnezdo,Turgenev_Dym,4,undirected
Turgenev_DvoryanskoeGnezdo,Turgenev_OtsyIDeti,5,undirected
Turgenev_Dym,Dostoevsky_Besy,1,undirected
Turgenev_Dym,Goncharov_Obryv,1,undirected
Turgenev_Dym,Turgenev_DvoryanskoeGnezdo,4,undirected
Turgenev_Dym,Turgenev_OtsyIDeti,6,undirected
Turgenev_OtsyIDeti,Dostoevsky_PrestuplenieINakazanie,1,undirected
Turgenev_OtsyIDeti,Dostoevsky_UnijennieIOskorblennie,1,undirected
Turgenev_OtsyIDeti,Goncharov_Oblomov,1,undirected
Turgenev_OtsyIDeti,Goncharov_Obryv,2,undirected
Turgenev_OtsyIDeti,Goncharov_ObyknovennayaIstoriya,1,undirected
Turgenev_OtsyIDeti,Tolstoy_AnnaKarenina,1,undirected
Turgenev_OtsyIDeti,Tolstoy_VoinaIMir,1,undirected
Turgenev_OtsyIDeti,Tolstoy_Voskresenie,1,undirected
Turgenev_OtsyIDeti,Turgenev_DvoryanskoeGnezdo,5,undirected
Turgenev_OtsyIDeti,Turgenev_Dym,6,undirected
